num_trabajador,nombre_horario,descripcion_horario,lunes_entrada_1,lunes_salida_1,lunes_entrada_2,lunes_salida_2,martes_entrada_1,martes_salida_1,martes_entrada_2,martes_salida_2,miercoles_entrada_1,miercoles_salida_1,miercoles_entrada_2,miercoles_salida_2,jueves_entrada_1,jueves_salida_1,jueves_entrada_2,jueves_salida_2,viernes_entrada_1,viernes_salida_1,viernes_entrada_2,viernes_salida_2,sabado_entrada_1,sabado_salida_1,sabado_entrada_2,sabado_salida_2,domingo_entrada_1,domingo_salida_1,domingo_entrada_2,domingo_salida_2,fecha_inicio_asignacion,fecha_fin_asignacion,semestre
233,LMXJ 15-20,Lunes a Jueves 15:00-20:00,15:00,20:00,,,15:00,20:00,,,15:00,20:00,,,15:00,20:00,,,,,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
260,LMX 16-20 | JV 17-20,"Lunes a Miércoles 16:00-20:00, Jueves a Viernes 17:00-20:00",16:00,20:00,,,16:00,20:00,,,16:00,20:00,,,17:00,20:00,,,17:00,20:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
269,LMXJV 08-16,Lunes a Viernes 08:00-16:00,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
278,LMXJV 11-19,Lunes a Viernes 11:00-19:00,11:00,19:00,,,11:00,19:00,,,11:00,19:00,,,11:00,19:00,,,11:00,19:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
284,LMXJV 08-16,Lunes a Viernes 08:00-16:00,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
292,LMXJV 11-19,Lunes a Viernes 11:00-19:00,11:00,19:00,,,11:00,19:00,,,11:00,19:00,,,11:00,19:00,,,11:00,19:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
303,LMXJV 07-15,Lunes a Viernes 07:00-15:00,7:00,15:00,,,7:00,15:00,,,7:00,15:00,,,7:00,15:00,,,7:00,15:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
316,LMXJV 09-17,Lunes a Viernes 09:00-17:00,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
317,LMXJV 11-19,Lunes a Viernes 11:00-19:00,11:00,19:00,,,11:00,19:00,,,11:00,19:00,,,11:00,19:00,,,11:00,19:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
349,L 14-18 | MXJV 15-18,"Lunes 14:00-18:00, Martes a Viernes 15:00-18:00",14:00,18:00,,,15:00,18:00,,,15:00,18:00,,,15:00,18:00,,,15:00,18:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
354,LM 08-11 | X 08-10 y 11-12 | JV 08-12,"Lunes a Martes 08:00-11:00, Miércoles 08:00-10:00 y 11:00-12:00, Jueves a Viernes 08:00-12:00",8:00,11:00,,,8:00,11:00,,,8:00,10:00,11:00,12:00,8:00,12:00,,,8:00,12:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
356,LMXJ 09-17 | V 08-16,"Lunes a Jueves 09:00-17:00, Viernes 08:00-16:00",9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,8:00,16:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
383,L 10-12 | MJV 10-13 | X 11-13,"Lunes 10:00-12:00, Martes, Jueves y Viernes 10:00-13:00, Miércoles 11:00-13:00",10:00,12:00,,,10:00,13:00,,,11:00,13:00,,,10:00,13:00,,,10:00,13:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
384,L 07-13 | MXJV 07-10,"Lunes 07:00-13:00, Martes a Viernes 07:00-10:00",7:00,13:00,,,7:00,10:00,,,7:00,10:00,,,7:00,10:00,,,7:00,10:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
385,L 10-14 | MXJV 11-14,"Lunes 10:00-14:00, Martes a Viernes 11:00-14:00",10:00,14:00,,,11:00,14:00,,,11:00,14:00,,,11:00,14:00,,,11:00,14:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
394,LMXJ 17-20 | V 18-20,"Lunes a Jueves 17:00-20:00, Viernes 18:00-20:00",17:00,20:00,,,17:00,20:00,,,17:00,20:00,,,17:00,20:00,,,18:00,20:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
6,L 09-14 | MJV 09-13,"Lunes 09:00-14:00, Martes, Jueves y Viernes 09:00-13:00",9:00,14:00,,,9:00,13:00,,,,,,,9:00,13:00,,,9:00,13:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
7,L 09-17 | MXJ 10-17 | V 09-14,"Lunes 09:00-17:00, Martes a Jueves 10:00-17:00, Viernes 09:00-14:00",9:00,17:00,,,10:00,17:00,,,10:00,17:00,,,10:00,17:00,,,9:00,14:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
14,LMXJV 11-15,Lunes a Viernes 11:00-15:00,11:00,15:00,,,11:00,15:00,,,11:00,15:00,,,11:00,15:00,,,11:00,15:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
16,LMX 08-13 | J 08-12,"Lunes a Miércoles 08:00-13:00, Jueves 08:00-12:00",8:00,13:00,,,8:00,13:00,,,8:00,13:00,,,8:00,12:00,,,,,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
18,LMXJV 09-17,Lunes a Viernes 09:00-17:00,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
69,LMXJV 09-13,Lunes a Viernes 09:00-13:00,9:00,13:00,,,9:00,13:00,,,9:00,13:00,,,9:00,13:00,,,9:00,13:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
70,LMXJV 09-17,Lunes a Viernes 09:00-17:00,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
79,L 10-12 | MXJ 11-13 | V 09-11,"Lunes 10:00-12:00, Martes a Jueves 11:00-13:00, Viernes 09:00-11:00",10:00,12:00,,,11:00,13:00,,,11:00,13:00,,,11:00,13:00,,,9:00,11:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
87,LMXJV 08-16,Lunes a Viernes 08:00-16:00,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
92,LMX 07-09 | JV 07-08,"Lunes a Miércoles 07:00-09:00, Jueves a Viernes 07:00-08:00",7:00,9:00,,,7:00,9:00,,,7:00,9:00,,,7:00,8:00,,,7:00,8:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
96,LMXJV 09-17,Lunes a Viernes 09:00-17:00,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
100,LJ 09-10 | MV 08-13 | X 09-13,"Lunes y Jueves 09:00-10:00, Martes y Viernes 08:00-13:00, Miércoles 09:00-13:00",9:00,10:00,,,8:00,13:00,,,9:00,13:00,,,9:00,10:00,,,8:00,13:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
105,L 07-15 | MXJV 07-14,"Lunes 07:00-15:00, Martes a Viernes 07:00-14:00",7:00,15:00,,,7:00,14:00,,,7:00,14:00,,,7:00,14:00,,,7:00,14:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
122,LMX 15-19 | JV 15-18,"Lunes a Miércoles 15:00-19:00, Jueves a Viernes 15:00-18:00",15:00,19:00,,,15:00,19:00,,,15:00,19:00,,,15:00,18:00,,,15:00,18:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
